Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
249,tt2552498,2013-04-23,2013-04-23,,Jack the Giant Killer,https://www.imdb.com/title/tt2552498/,movie,2.2,87,2013,"Action, Fantasy",1610,2013-02-18,Mark Atkins
250,tt2137286,2013-04-23,2013-04-23,,Sofia the First: Once Upon a Princess,https://www.imdb.com/title/tt2137286/,tvMovie,6.8,47,2012,"Animation, Family, Fantasy, Musical",817,2012-11-18,Jamie Mitchell
251,tt1935902,2013-04-23,2013-04-23,,The Brass Teapot,https://www.imdb.com/title/tt1935902/,movie,6.4,101,2012,"Comedy, Fantasy, Thriller",13724,2012-09-08,Ramaa Mosley
252,tt1235124,2013-04-23,2013-04-23,,Dorian Gray,https://www.imdb.com/title/tt1235124/,movie,6.3,112,2009,"Drama, Fantasy, Thriller",57759,2009-09-07,Oliver Parker
253,tt0082198,2013-04-23,2013-04-23,,Conan the Barbarian,https://www.imdb.com/title/tt0082198/,movie,6.9,129,1982,"Adventure, Fantasy",127820,1982-04-02,John Milius
254,tt0112642,2013-04-23,2013-04-23,,Casper,https://www.imdb.com/title/tt0112642/,movie,6.1,100,1995,"Comedy, Family, Fantasy",106506,1995-05-26,Brad Silberling
255,tt0120889,2013-04-23,2013-04-23,,What Dreams May Come,https://www.imdb.com/title/tt0120889/,movie,7.0,113,1998,"Drama, Fantasy, Romance",95134,1998-09-28,Vincent Ward
256,tt0312528,2013-04-23,2013-04-23,,The Cat in the Hat,https://www.imdb.com/title/tt0312528/,movie,3.9,82,2003,"Adventure, Comedy, Family, Fantasy",45420,2003-11-08,Bo Welch
257,tt0385880,2013-04-23,2013-04-23,,Monster House,https://www.imdb.com/title/tt0385880/,movie,6.6,91,2006,"Animation, Adventure, Comedy, Family, Fantasy, Mystery",89192,2006-06-15,Gil Kenan
258,tt0952640,2013-04-23,2013-04-23,,Alvin and the Chipmunks,https://www.imdb.com/title/tt0952640/,movie,5.2,92,2007,"Animation, Comedy, Family, Fantasy, Music",69006,2007-12-13,Tim Hill
259,tt0443649,2013-04-23,2013-04-23,,"10,000 BC",https://www.imdb.com/title/tt0443649/,movie,5.1,109,2008,"Action, Adventure, Drama, Fantasy, History",119660,2008-02-22,Roland Emmerich
260,tt1615918,2013-04-23,2013-04-23,,Alvin and the Chipmunks: Chipwrecked,https://www.imdb.com/title/tt1615918/,movie,4.4,87,2011,"Animation, Adventure, Comedy, Family, Fantasy, Music",28019,2011-12-14,Mike Mitchell
261,tt1368440,2013-04-23,2013-04-23,,Branded,https://www.imdb.com/title/tt1368440/,movie,4.7,106,2012,"Drama, Fantasy, Thriller",8475,2012-09-07,"Aleksandr Dulerayn, Jamie Bradshaw"
262,tt0076363,2013-04-23,2013-04-23,,The Many Adventures of Winnie the Pooh,https://www.imdb.com/title/tt0076363/,movie,7.6,74,1977,"Animation, Comedy, Family, Musical",29555,1977-03-11,"Wolfgang Reitherman, John Lounsbery"
263,tt0097428,2013-04-23,2013-04-23,,Ghostbusters II,https://www.imdb.com/title/tt0097428/,movie,6.5,108,1989,"Action, Comedy, Fantasy, Sci-Fi",167025,1989-06-15,Ivan Reitman
264,tt0106220,2013-04-23,2013-04-23,,Addams Family Values,https://www.imdb.com/title/tt0106220/,movie,6.7,94,1993,"Comedy, Fantasy",69251,1993-11-19,Barry Sonnenfeld
265,tt0107120,2013-04-23,2013-04-23,,Hocus Pocus,https://www.imdb.com/title/tt0107120/,movie,6.8,96,1993,"Comedy, Family, Fantasy",79834,1993-07-16,Kenny Ortega
266,tt0107985,2013-04-23,2013-04-23,,Rookie of the Year,https://www.imdb.com/title/tt0107985/,movie,6.0,103,1993,"Comedy, Family, Fantasy, Sport",22049,1993-07-07,Daniel Stern
267,tt0112431,2013-04-23,2013-04-23,,Babe,https://www.imdb.com/title/tt0112431/,movie,6.8,91,1995,"Comedy, Drama, Family",108700,1995-08-04,Chris Noonan
268,tt0116136,2013-04-23,2013-04-23,,DragonHeart,https://www.imdb.com/title/tt0116136/,movie,6.5,103,1996,"Action, Adventure, Fantasy",86189,1996-05-31,Rob Cohen
269,tt0120657,2013-04-23,2013-04-23,,The 13th Warrior,https://www.imdb.com/title/tt0120657/,movie,6.6,102,1999,"Action, Adventure, History",110418,1999-08-13,"Michael Crichton, John McTiernan"
270,tt0164912,2013-04-23,2013-04-23,,Stuart Little,https://www.imdb.com/title/tt0164912/,movie,5.9,84,1999,"Adventure, Comedy, Family, Fantasy",114582,1999-12-05,Rob Minkoff
271,tt0146984,2013-04-23,2013-04-23,,The Legend of Bagger Vance,https://www.imdb.com/title/tt0146984/,movie,6.7,126,2000,"Drama, Fantasy, Sport",50511,2000-10-29,Robert Redford
272,tt0207201,2013-04-23,2013-04-23,,What Women Want,https://www.imdb.com/title/tt0207201/,movie,6.4,127,2000,"Comedy, Fantasy, Romance",180182,2000-12-13,Nancy Meyers
273,tt0240890,2013-04-23,2013-04-23,,Serendipity,https://www.imdb.com/title/tt0240890/,movie,6.9,90,2001,"Comedy, Romance",97829,2001-09-13,Peter Chelsom
274,tt0253556,2013-04-23,2013-04-23,,Reign of Fire,https://www.imdb.com/title/tt0253556/,movie,6.2,101,2002,"Action, Adventure, Fantasy, Sci-Fi, Thriller",119355,2002-07-09,Rob Bowman
275,tt0277296,2013-04-23,2013-04-23,,The Scorpion King,https://www.imdb.com/title/tt0277296/,movie,5.5,92,2002,"Action, Adventure, Fantasy, Thriller",122429,2002-04-15,Chuck Russell
276,tt0373074,2013-04-23,2013-04-23,,Kung fu,https://www.imdb.com/title/tt0373074/,movie,7.8,99,2004,"Action, Comedy, Fantasy",116156,2004-09-14,Stephen Chow
277,tt0355295,2013-04-23,2013-04-23,,The Brothers Grimm,https://www.imdb.com/title/tt0355295/,movie,5.9,118,2005,"Action, Adventure, Comedy, Fantasy, Thriller",110110,2005-08-26,Terry Gilliam
278,tt0406375,2013-04-23,2013-04-23,,Zathura: A Space Adventure,https://www.imdb.com/title/tt0406375/,movie,6.2,101,2005,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",83666,2005-11-06,Jon Favreau
279,tt0397078,2013-04-23,2013-04-23,,Just My Luck,https://www.imdb.com/title/tt0397078/,movie,5.4,103,2006,"Comedy, Fantasy, Romance",50653,2006-05-09,Donald Petrie
280,tt0410297,2013-04-23,2013-04-23,,The Lake House,https://www.imdb.com/title/tt0410297/,movie,6.8,99,2006,"Drama, Fantasy, Romance",129248,2006-06-16,Alejandro Agresti
281,tt0396752,2013-04-23,2013-04-23,,Nanny McPhee,https://www.imdb.com/title/tt0396752/,movie,6.6,97,2005,"Comedy, Family, Fantasy",61419,2005-10-21,Kirk Jones
282,tt0413895,2013-04-23,2013-04-23,,Charlotte's Web,https://www.imdb.com/title/tt0413895/,movie,6.3,97,2006,"Comedy, Family, Fantasy",33488,2006-12-07,Gary Winick
283,tt0970411,2013-04-23,2013-04-23,,City of Ember,https://www.imdb.com/title/tt0970411/,movie,6.5,90,2008,"Adventure, Family, Fantasy, Sci-Fi",59498,2008-09-25,Gil Kenan
284,tt0831887,2013-04-23,2013-04-23,,The Spirit,https://www.imdb.com/title/tt0831887/,movie,4.8,103,2008,"Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller",57557,2008-12-25,Frank Miller
285,tt1098327,2013-04-23,2013-04-23,,Dragonball Evolution,https://www.imdb.com/title/tt1098327/,movie,2.6,85,2009,"Action, Adventure, Fantasy, Sci-Fi, Thriller",65665,2009-03-10,James Wong
286,tt0876563,2013-04-23,2013-04-23,,Gake no ue no Ponyo,https://www.imdb.com/title/tt0876563/,movie,7.7,101,2008,"Animation, Adventure, Comedy, Family, Fantasy",106760,2008-07-19,Hayao Miyazaki
287,tt1067106,2013-04-23,2013-04-23,,A Christmas Carol,https://www.imdb.com/title/tt1067106/,movie,6.8,96,2009,"Animation, Drama, Family, Fantasy",91569,2009-11-03,Robert Zemeckis
288,tt1075747,2013-04-23,2013-04-23,,Jonah Hex,https://www.imdb.com/title/tt1075747/,movie,4.7,81,2010,"Action, Drama, Fantasy, Thriller, Western",51688,2010-06-17,Jimmy Hayward
289,tt0359950,2013-04-23,2013-04-23,,The Secret Life of Walter Mitty,https://www.imdb.com/title/tt0359950/,movie,7.3,114,2013,"Adventure, Comedy, Drama, Fantasy, Romance",274594,2013-10-05,Ben Stiller
290,tt1440161,2013-04-23,2013-04-23,,A Little Bit of Heaven,https://www.imdb.com/title/tt1440161/,movie,6.3,106,2011,"Comedy, Drama, Fantasy, Romance",26385,2011-02-04,Nicole Kassell
291,tt0970452,2013-04-23,2013-04-23,,Solomon Kane,https://www.imdb.com/title/tt0970452/,movie,6.1,104,2009,"Action, Adventure, Fantasy",65849,2009-09-16,M.J. Bassett
292,tt0080745,2013-04-23,2013-04-23,,Flash Gordon,https://www.imdb.com/title/tt0080745/,movie,6.5,111,1980,"Action, Adventure, Sci-Fi",45596,1980-09-30,Mike Hodges
293,tt0079944,2013-04-23,2013-04-23,,Stalker,https://www.imdb.com/title/tt0079944/,movie,8.1,162,1979,"Drama, Sci-Fi",97276,1979-05-31,Andrei Tarkovsky
294,tt0089791,2013-04-23,2013-04-23,,Pee-wee's Big Adventure,https://www.imdb.com/title/tt0089791/,movie,7.0,91,1985,"Adventure, Comedy, Family",46411,1985-07-26,Tim Burton
295,tt0109813,2013-04-23,2013-04-23,,The Flintstones,https://www.imdb.com/title/tt0109813/,movie,4.9,91,1994,"Comedy, Family, Fantasy",69659,1994-05-23,Brian Levant
296,tt0116683,2013-04-23,2013-04-23,,James and the Giant Peach,https://www.imdb.com/title/tt0116683/,movie,6.7,79,1996,"Animation, Adventure, Family, Fantasy, Musical",56029,1996-04-12,Henry Selick
297,tt0120177,2013-04-23,2013-04-23,,Spawn,https://www.imdb.com/title/tt0120177/,movie,5.2,96,1997,"Action, Horror",59878,1997-07-31,Mark A.Z. Dippé
298,tt0119099,2013-04-23,2013-04-23,,Fallen,https://www.imdb.com/title/tt0119099/,movie,7.0,124,1998,"Action, Crime, Drama, Fantasy, Mystery, Thriller",68424,1998-01-16,Gregory Hoblit
299,tt0120789,2013-04-23,2013-04-23,,Pleasantville,https://www.imdb.com/title/tt0120789/,movie,7.5,124,1998,"Comedy, Drama, Fantasy",114318,1998-09-17,Gary Ross
300,tt0185431,2013-04-23,2013-04-23,,Little Nicky,https://www.imdb.com/title/tt0185431/,movie,5.3,90,2000,"Comedy, Fantasy",91329,2000-11-02,Steven Brill
301,tt0328880,2013-04-23,2013-04-23,,Brother Bear,https://www.imdb.com/title/tt0328880/,movie,6.8,85,2003,"Animation, Adventure, Comedy, Family, Fantasy",86179,2003-10-20,"Aaron Blaise, Robert Walker"
302,tt0425123,2013-04-23,2013-04-23,,Just Like Heaven,https://www.imdb.com/title/tt0425123/,movie,6.7,95,2005,"Comedy, Drama, Fantasy, Romance",92818,2005-09-16,Mark Waters
303,tt0429591,2013-04-23,2013-04-23,,Aquamarine,https://www.imdb.com/title/tt0429591/,movie,5.4,104,2006,"Comedy, Family, Fantasy, Romance",35481,2006-02-26,Elizabeth Allen Rosenbaum
304,tt0477071,2013-04-23,2013-04-23,,Premonition,https://www.imdb.com/title/tt0477071/,movie,5.9,96,2007,"Drama, Fantasy, Mystery, Thriller",69197,2007-03-12,Mennan Yapo
305,tt0465502,2013-04-23,2013-04-23,,Igor,https://www.imdb.com/title/tt0465502/,movie,6.0,87,2008,"Animation, Comedy, Family, Fantasy",21367,2008-09-19,Tony Leondis
306,tt0420238,2013-04-23,2013-04-23,,The Tale of Despereaux,https://www.imdb.com/title/tt0420238/,movie,6.1,93,2008,"Animation, Adventure, Comedy, Family, Fantasy",34037,2008-12-17,"Robert Stevenhagen, Sam Fell"
307,tt0450405,2013-04-23,2013-04-23,,Cirque du Freak: The Vampire's Assistant,https://www.imdb.com/title/tt0450405/,movie,5.9,109,2009,"Action, Adventure, Fantasy, Thriller",40403,2009-10-22,Paul Weitz
308,tt0808510,2013-04-23,2013-04-23,,Tooth Fairy,https://www.imdb.com/title/tt0808510/,movie,5.0,101,2010,"Comedy, Family, Fantasy, Sport",37750,2010-01-14,Michael Lembeck
309,tt1032751,2013-04-23,2013-04-23,,The Warrior's Way,https://www.imdb.com/title/tt1032751/,movie,6.3,100,2010,"Action, Fantasy, Western",24220,2010-12-01,Sngmoo Lee
310,tt1231580,2013-04-23,2013-04-23,,Alvin and the Chipmunks: The Squeakquel,https://www.imdb.com/title/tt1231580/,movie,4.5,88,2009,"Animation, Comedy, Family, Fantasy, Music",39022,2009-12-11,Betty Thomas
