Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
286,tt0298388,2013-04-23,2013-04-23,,Jonah: A VeggieTales Movie,https://www.imdb.com/title/tt0298388/,movie,6.6,82,2002,"Animation, Adventure, Comedy, Drama, Family, Musical",3592,2002-10-04,"Phil Vischer, Mike Nawrocki"
287,tt0064806,2013-04-23,2013-04-23,,The Phantom Tollbooth,https://www.imdb.com/title/tt0064806/,movie,7.0,90,1970,"Family, Adventure, Animation, Fantasy",2666,1970-11-07,"Dave Monahan, Chuck Jones, Abe Levitow"
288,tt0090315,2013-04-23,2013-04-23,,When the Wind Blows,https://www.imdb.com/title/tt0090315/,movie,7.8,84,1986,"Animation, Comedy, Drama, War",8803,1986-10-24,Jimmy T. Murakami
289,tt0083951,2013-04-23,2013-04-23,,The Flight of Dragons,https://www.imdb.com/title/tt0083951/,video,7.8,95,1982,"Animation, Adventure, Family, Fantasy, Romance",4948,1982-08-17,"Jules Bass, Arthur Rankin Jr."
290,tt0088885,2013-04-23,2013-04-23,,The Care Bears Movie,https://www.imdb.com/title/tt0088885/,movie,5.6,77,1985,"Animation, Adventure, Comedy, Family, Fantasy, Musical",4847,1985-03-23,Arna Selznick
291,tt0099733,2013-04-23,2013-04-23,,Happily Ever After,https://www.imdb.com/title/tt0099733/,movie,5.2,75,1990,"Family, Animation, Musical, Fantasy",1999,1990-06-20,John Howley
292,tt0114108,2013-04-23,2013-04-23,,The Pebble and the Penguin,https://www.imdb.com/title/tt0114108/,movie,5.6,74,1995,"Animation, Adventure, Comedy, Family, Musical",4119,1995-04-12,"Gary Goldman, Don Bluth"
293,tt0403703,2013-04-23,2013-04-23,,Yu-Gi-Oh! The Movie,https://www.imdb.com/title/tt0403703/,movie,4.7,100,2004,"Animation, Action, Adventure, Family, Fantasy, Thriller",7383,2004-08-05,Hatsuki Tsuji
294,tt0475998,2013-04-23,2013-04-23,,The Pirates Who Don't Do Anything: A VeggieTales Movie,https://www.imdb.com/title/tt0475998/,movie,5.7,85,2008,"Animation, Adventure, Comedy, Family, Musical, Sci-Fi",2388,2008-01-11,Mike Nawrocki
295,tt0072424,2013-04-23,2013-04-23,,The Year Without a Santa Claus,https://www.imdb.com/title/tt0072424/,tvMovie,7.9,51,1974,"Animation, Comedy, Family, Fantasy, Musical",6871,1974-12-10,"Jules Bass, Arthur Rankin Jr."
