Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
56,tt0453562,2013-04-23,2013-04-23,,42,https://www.imdb.com/title/tt0453562/,movie,7.5,128,2013,"Biography, Drama, Sport",77393,2013-04-12,Brian Helgeland
57,tt1235522,2013-04-23,2013-04-23,,Broken City,https://www.imdb.com/title/tt1235522/,movie,6.2,109,2013,"Crime, Drama, Thriller",71507,2013-01-18,Allen Hughes
58,tt1321870,2013-04-23,2013-04-23,,Gangster Squad,https://www.imdb.com/title/tt1321870/,movie,6.7,113,2013,"Action, Crime, Drama, Thriller",195113,2013-01-07,Ruben Fleischer
59,tt1980209,2013-04-23,2013-04-23,,Pain & Gain,https://www.imdb.com/title/tt1980209/,movie,6.4,129,2013,"Action, Comedy, Crime, Drama, Thriller",187212,2013-04-11,Michael Bay
60,tt1253863,2013-04-23,2013-04-23,,300: Rise of an Empire,https://www.imdb.com/title/tt1253863/,movie,6.2,102,2014,"Action, Fantasy, War",261908,2014-03-04,Noam Murro
61,tt2070862,2013-04-23,2013-04-23,,Temptation: Confessions of a Marriage Counselor,https://www.imdb.com/title/tt2070862/,movie,5.0,111,2013,"Drama, Thriller",10965,2013-03-16,Tyler Perry
62,tt2132285,2013-04-23,2013-04-23,,The Bling Ring,https://www.imdb.com/title/tt2132285/,movie,5.6,90,2013,"Biography, Crime, Drama",77568,2013-05-16,Sofia Coppola
63,tt1602613,2013-04-23,2013-04-23,,Only God Forgives,https://www.imdb.com/title/tt1602613/,movie,5.7,90,2013,"Crime, Drama",99970,2013-05-22,Nicolas Winding Refn
64,tt1457765,2013-04-23,2013-04-23,,The Haunting in Connecticut 2: Ghosts of Georgia,https://www.imdb.com/title/tt1457765/,movie,5.3,101,2013,"Drama, Horror, Mystery, Thriller",15147,2013-02-01,Tom Elkins
65,tt0882977,2013-04-23,2013-04-23,,Snitch,https://www.imdb.com/title/tt0882977/,movie,6.5,112,2013,"Action, Drama, Thriller",77835,2013-02-21,Ric Roman Waugh
66,tt0066921,2013-04-23,2013-04-23,,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",685562,1971-12-19,Stanley Kubrick
67,tt0071562,2013-04-23,2013-04-23,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",994933,1974-12-12,Francis Ford Coppola
68,tt0073486,2013-04-23,2013-04-23,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,827113,1975-11-19,Milos Forman
69,tt0078788,2013-04-23,2013-04-23,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.5,147,1979,"Drama, War",545532,1979-05-19,Francis Ford Coppola
